x,y,Bx,By
-2,3,1.089715353020334,-10.88017890917461
-1.9,3,1.224936857775203,-11.13410580329256
-1.8,3,1.203149456934303,-11.54156889321267
-1.7,3,1.170352316477286,-11.95979821025233
-1.6,3,1.137555176020267,-12.37802752729198
-1.5,3,1.104758035563249,-12.79625684433162
-1.4,3,1.071960895106232,-13.21448616137128
-1.3,3,1.039163754649213,-13.63271547841092
-1.2,3,1.006366614192196,-14.05094479545057
-1.1,3,1.00201032739367,-14.4699495549554
-1,3,1.168546385369948,-14.8936137098041
-0.8999999999999999,3,1.335082443346227,-15.31727786465281
-0.7999999999999998,3,1.334667114422022,-15.97363685752219
-0.7,3,1.21632568189916,-16.7943598373266
-0.5999999999999999,3,1.097984249376297,-17.61508281713102
-0.5,3,0.979642816853434,-18.43580579693543
-0.3999999999999999,3,0.8613013843305736,-19.25652877673985
-0.2999999999999998,3,0.7429599518077102,-20.07725175654425
-0.2,3,0.6246185192848486,-20.89797473634867
-0.09999999999999987,3,0.506277086761987,-21.71869771615309
0,3,0.8564443917361672,-22.44538817042416
0.1000000000000001,3,1.445445782615778,-23.12414318511068
0.2000000000000002,3,2.034447173495385,-23.80289819979719
0.3000000000000003,3,2.703907058098753,-25.17070527899725
0.4000000000000004,3,3.441929232142309,-27.12568451243554
0.5,3,4.179951406185849,-29.08066374587379
0.6000000000000001,3,4.917973580229405,-31.03564297931207
0.7000000000000002,3,5.265460246532615,-32.98411703184626
0.8000000000000003,3,4.582814248292569,-34.91543208294458
0.9000000000000004,3,3.900168250052533,-36.84674713404294
1,3,3.572931801152109,-38.89639229196609
1.1,3,5.438420680790392,-41.67608373830663
1.2,3,7.303909560428694,-44.45577518464717
1.3,3,9.169398440066988,-47.23546663098775
1.4,3,11.03488731970528,-50.01515807732827
1.5,3,12.90037619934355,-52.79484952366879
1.6,3,14.76586507898185,-55.57454097000937
1.7,3,16.63135395862015,-58.3542324163499
1.8,3,15.04778684249112,-65.27670976335051
1.9,3,14.82100144176459,-73.76585327214472
2,3,22.25976083822052,-86.07669421376755
2.100000000000001,3,29.69852023467648,-98.38753515539032
2.2,3,37.01883621676785,-108.4746757179941
2.3,3,44.17966056968306,-115.5674615657153
2.4,3,62.2784795785933,-133.1132317962248
2.5,3,82.44784619956963,-152.6377378492906
2.600000000000001,3,96.38653635169379,-172.9868021228017
2.7,3,147.4040122770363,-204.7989229218344
2.800000000000001,3,208.2280132413548,-225.9902827528441
2.9,3,345.8581535186256,-265.0566318342778
3,3,1156.454678172742,-89.8257205096956
3.100000000000001,3,328.4167253033346,305.3733482247536
3.2,3,200.0630018258443,263.1135099238098
3.300000000000001,3,126.8519049478841,227.9151783212258
3.4,3,82.65125015073488,201.1310695310932
3.5,3,58.85429189968487,180.2798012118397
3.600000000000001,3,39.38649945192777,161.2398361221568
3.7,3,29.02633127900149,146.0104594950747
3.800000000000001,3,21.09203657328056,133.8498584580349
3.9,3,16.10776528058788,125.4210925568158
4,3,11.12349398789519,116.9923266555968
4.100000000000001,3,6.139222695202448,108.5635607543776
4.2,3,3.713854705949036,103.0024242438921
4.300000000000001,3,2.336847981981431,98.61613149260593
4.4,3,0.9598412580138394,94.22983874131982
4.5,3,-0.4171654659537528,89.8435459900337
4.600000000000001,3,-0.4497500968639976,87.51475555717033
4.7,3,-0.437173262116011,85.25508018926571
4.800000000000001,3,-0.4245964273680243,82.99540482136105
4.9,3,-0.4120195926200376,80.7357294534564
5,3,-0.399442757872051,78.47605408555177
5.100000000000001,3,-0.3868659231240642,76.21637871764708
5.2,3,-0.3742890883760776,73.95670334974244
5.300000000000001,3,-0.3652491524731328,72.48979381609397
5.4,3,-0.3599837365262792,71.86891087042659
5.5,3,-0.3547183205794257,71.2480279247592
5.600000000000001,3,-0.3494529046325722,70.62714497909182
5.7,3,-0.3441874886857186,70.00626203342445
5.800000000000001,3,-0.3389220727388652,69.38537908775706
5.9,3,-0.3336566567920117,68.7644961420897
6,3,-0.3283912408451582,68.14361319642231
6.1,3,-0.3231258248983077,68.7576942302379
6.200000000000001,3,-0.3178604089514532,69.37177526405279
6.300000000000001,3,-0.3125949930045988,69.98585629786766
