.x,y,B,Bx,By,yzeroed,xzeroed
-11,-2.5,0.002166964,-0.001221602,0.001789811,8.5,0
-11,-2.4,0.002176861,-0.00120941,0.001809986,8.6,0
-11,-2.3,0.002186967,-0.001197219,0.001830161,8.7,0
-11,-2.2,0.002197254,-0.001185337,0.001850108,8.8,0
-11,-2.1,0.002207727,-0.001173567,0.001869973,8.9,0
-11,-2,0.002218392,-0.001161798,0.001889838,9,0
-11,-1.9,0.002229244,-0.001150028,0.001909703,9.1,0
-11,-1.8,0.002237333,-0.001137704,0.00192647,9.2,0
-11,-1.7,0.002244243,-0.001121213,0.001944096,9.3,0
-11,-1.6,0.002251388,-0.001104426,0.001961884,9.4,0
-11,-1.5,0.002258775,-0.001087639,0.001979673,9.5,0
-11,-1.4,0.002266402,-0.001070853,0.001997461,9.6,0
-11,-1.3,0.002274266,-0.001054066,0.00201525,9.7,0
-11,-1.2,0.002282366,-0.001037279,0.002033039,9.8,0
-11,-1.1,0.002290698,-0.001020492,0.002050827,9.9,0
-11,-1,0.002297159,-0.001003278,0.002066488,10,0
-11,-0.9,0.002305691,-0.000987166,0.002083678,10.1,0
-11,-0.8,0.002314431,-0.000971054,0.002100867,10.2,0
-11,-0.7,0.002323377,-0.000954942,0.002118057,10.3,0
-11,-0.6,0.002332527,-0.00093883,0.002135247,10.4,0
-11,-0.5,0.002341762,-0.000922695,0.002152321,10.5,0
-11,-0.4,0.002351081,-0.000906538,0.002169279,10.6,0
-11,-0.3,0.002360595,-0.00089038,0.002186237,10.7,0
-11,-0.2,0.002370303,-0.000874222,0.002203196,10.8,0
-11,-0.1,0.002380201,-0.000858064,0.002220154,10.9,0
-11,0,0.002386491,-0.000836553,0.002235066,11,0
-11,0.1,0.002385907,-0.000811032,0.002243831,11.1,0
-11,0.2,0.002385852,-0.000785249,0.002252925,11.2,0
-11,0.3,0.002386274,-0.000759279,0.002262255,11.3,0
-11,0.4,0.002387015,-0.000733309,0.002271585,11.4,0
-11,0.5,0.002388074,-0.000707339,0.002280914,11.5,0
-11,0.6,0.002389452,-0.000681368,0.002290244,11.6,0
-11,0.7,0.002391148,-0.000655398,0.002299574,11.7,0
-11,0.8,0.00239316,-0.000629428,0.002308904,11.8,0
-11,0.9,0.002395516,-0.000606501,0.002317467,11.9,0
-11,1,0.002399512,-0.000582412,0.002327757,12,0
-11,1.1,0.002403787,-0.000558322,0.002338048,12.1,0
-11,1.2,0.002408339,-0.000534233,0.002348338,12.2,0
-11,1.3,0.002413545,-0.000510364,0.002358967,12.3,0
-11,1.4,0.002420232,-0.000487203,0.002370687,12.4,0
-11,1.5,0.002427179,-0.000464043,0.002382407,12.5,0
-11,1.6,0.002434383,-0.000440882,0.002394127,12.6,0
-11,1.7,0.002441842,-0.000417721,0.002405847,12.7,0
-11,1.8,0.002447305,-0.000389754,0.00241607,12.8,0
-11,1.9,0.002450522,-0.000359539,0.002424002,12.9,0
-11,2,0.002453314,-0.000330715,0.002430921,13,0
-11,2.1,0.002455841,-0.000305342,0.002436785,13.1,0
-11,2.2,0.002458641,-0.000279969,0.002442649,13.2,0
-11,2.3,0.002461714,-0.000254596,0.002448513,13.3,0
-11,2.4,0.002465058,-0.000229223,0.002454377,13.4,0
-11,2.5,0.002468671,-0.00020385,0.002460241,13.5,0
-11,2.6,0.002472554,-0.000178478,0.002466104,13.6,0
-11,2.7,0.002476705,-0.000153105,0.002471968,13.7,0
-11,2.8,0.002481088,-0.000127719,0.002477799,13.8,0
-11,2.9,0.002475755,-9.85E-05,0.002473796,13.9,0
-10.9,-11,0.001327584,-0.00125405,0.000435704,0,0.1
-10.9,-10.9,0.001336853,-0.001260416,0.000445565,0.1,0.1
-10.9,-10.8,0.001347759,-0.001268278,0.00045599,0.2,0.1
-10.9,-10.7,0.001358888,-0.001276312,0.00046648,0.3,0.1
-10.9,-10.6,0.001370054,-0.001284347,0.00047697,0.4,0.1
-10.9,-10.5,0.001381255,-0.001292381,0.00048746,0.5,0.1
-10.9,-10.4,0.001392493,-0.001300416,0.00049795,0.6,0.1
-10.9,-10.3,0.001402798,-0.001307676,0.000507767,0.7,0.1
-10.9,-10.2,0.001410953,-0.001311751,0.000519709,0.8,0.1
-10.9,-10.1,0.001418535,-0.001314862,0.000532333,0.9,0.1
-10.9,-10,0.001426754,-0.001318583,0.000544944,1,0.1
-10.9,-9.9,0.001435784,-0.001323113,0.000557538,1.1,0.1
-10.9,-9.8,0.001444882,-0.001327642,0.000570131,1.2,0.1
