realX,realY,xMinusEarth,yMinusEarth
10,1,80.7815551757813,104.867553710938
10,10,236.345367431641,28.310546875
10,11,239.976043701172,4.23812866210938
10,12,238.503723144531,-19.9197387695313
10,13,231.240692138672,-43.3038330078125
10,14,219.988962809245,-64.4994947645399
10,15,206.324920654297,-81.9000244140625
10,16,187.469177246094,-97.2544860839844
10,17,168.240814208984,-108.537750244141
10,18,146.735687255859,-117.378997802734
10,19,126.253204345703,-121.929473876953
10,2,100.571746826172,108.854370117188
10,20,106.501007080078,-123.903198242188
10,21,88.212890625,-123.658599853516
10,22,69.9613952636719,-119.387359619141
10,23,55.3668212890625,-112.781066894531
10,24,40.5743408203125,-105.660858154297
10,25,29.8185729980469,-98.0047607421875
10,26,19.5022583007813,-91.3931274414063
10,27,11.9613647460938,-85.0079345703125
10,28,5.90606689453125,-79.4200134277344
10,29,0.41351318359375,-73.5714721679688
10,3,119.971466064453,113.021392822266
10,30,-3.67813110351562,-69.3519592285156
10,31,-7.5396728515625,-64.17724609375
10,32,-11.268310546875,-58.426513671875
10,33,-14.224853515625,-54.7311401367188
10,4,141.772766113281,113.673248291016
10,5,161.349487304688,108.135986328125
10,6,181.793060302734,98.1063842773438
10,7,200.183868408203,85.2494812011719
10,8,215.759124755859,69.4418334960938
10,9,228.211364746094,49.2732238769531
1,1,35.8860778808594,454.659271240234
1,10,2466.00114135742,603.099365234375
1,11,1746.02162997413,143.654993654207
11,10,196.295013427734,24.4528198242187
11,11,199.550628662109,6.49551391601563
11,12,198.821716308594,-13.4188842773438
11,13,194.807739257812,-31.5028381347656
11,14,186.725463867187,-49.0155029296875
11,15,176.082916259766,-65.1020812988281
11,16,162.447662353516,-78.2814025878906
11,17,146.7626953125,-87.2157287597656
11,18,131.904602050781,-95.6011962890625
11,19,110.802154541016,-99.4439697265625
1,12,1731.34252622146,-137.412476059078
11,20,92.254638671875,-101.637573242188
11,21,79.2611694335938,-102.533874511719
11,22,64.0290832519531,-100.594787597656
11,23,50.0947570800781,-95.2413940429688
11,24,37.5804138183594,-89.3820190429688
11,25,28.3064270019531,-84.1270446777344
11,26,19.2106628417969,-79.1294860839844
11,27,12.9638671875,-74.8280334472656
11,28,7.74444580078125,-71.0076904296875
11,29,2.48825073242187,-66.1572265625
1,13,1609.04900680902,-401.216073824665
11,30,-2.26211547851562,-61.8052673339844
11,31,-5.65383911132813,-58.4600830078125
11,32,-9.00604248046875,-53.9944458007813
11,33,-10.9649658203125,-49.7943115234375
1,14,1357.39509829102,-605.276943359375
1,15,1067.0926684868,-726.26954365552
1,16,826.101050763091,-765.52164049385
1,17,568.107676786535,-730.595034610524
1,18,380.958190657135,-654.799991183811
1,19,250.662309729535,-562.943269149117
1,2,102.099914550781,573.524475097656
1,20,139.571685791016,-663.457794189453
1,21,54.2055996981534,-483.580530340021
12,11,164.830474853516,2.071533203125
12,12,163.220367431641,-13.2748413085938
12,13,159.131774902344,-27.9820251464844
12,14,152.557525634766,-42.2471618652344
12,15,143.095703125,-54.5579528808594
12,16,132.724151611328,-65.5859375
